data_source,timestamp,station_id,temperature,humidity,wind_speed,wind_deg,pressure,rainfall,pbl_height,temp_gradient,pm25,pm10,no2,so2,co,o3
DEMO_SYNTHETIC,2025-10-01 00:00,Anand_Vihar,25.4,61.84,2.49,272.2,1010.26,0.0,439.5,-0.57,58.04,90.37,15.96,6.2,0.35,21.8
DEMO_SYNTHETIC,2025-10-01 01:00,Anand_Vihar,25.18,58.98,2.01,277.3,1008.87,0.0,384.3,-0.62,107.8,156.62,17.95,10.69,1.07,16.83
DEMO_SYNTHETIC,2025-10-01 02:00,Anand_Vihar,23.28,71.48,2.0,286.7,1010.0,0.0,420.6,-1.17,82.02,110.92,23.58,11.78,0.76,11.67
DEMO_SYNTHETIC,2025-10-01 03:00,Anand_Vihar,25.13,62.44,2.19,308.6,1008.59,0.0,414.6,-0.53,81.66,123.99,17.4,8.53,0.89,21.9
DEMO_SYNTHETIC,2025-10-01 04:00,Anand_Vihar,24.23,61.67,2.15,329.5,1009.28,0.0,398.2,-0.5,81.78,129.82,27.09,9.98,1.2,14.32
DEMO_SYNTHETIC,2025-10-01 05:00,Anand_Vihar,25.28,58.93,1.99,302.2,1009.76,0.0,422.6,-0.79,76.14,111.78,19.6,9.07,0.89,19.32
DEMO_SYNTHETIC,2025-10-01 06:00,Anand_Vihar,26.36,56.8,2.91,334.3,1010.14,0.0,382.4,-0.9,57.43,82.21,5.0,7.55,0.56,16.84
DEMO_SYNTHETIC,2025-10-01 07:00,Anand_Vihar,28.99,49.6,2.67,347.2,1010.14,0.0,999.5,-1.3,30.83,33.63,26.71,12.43,0.3,19.21
DEMO_SYNTHETIC,2025-10-01 08:00,Anand_Vihar,29.96,40.91,3.39,319.2,1009.08,0.0,1175.1,-1.07,37.59,46.95,17.3,6.06,0.35,38.57
DEMO_SYNTHETIC,2025-10-01 09:00,Anand_Vihar,33.6,42.88,2.78,261.2,1010.05,0.0,1313.4,-1.07,33.73,47.24,22.26,6.55,0.44,49.41
DEMO_SYNTHETIC,2025-10-01 10:00,Anand_Vihar,33.27,39.57,3.32,291.9,1009.84,0.0,1430.8,-0.57,12.23,15.0,23.75,8.46,0.2,71.68
DEMO_SYNTHETIC,2025-10-01 11:00,Anand_Vihar,34.45,26.6,3.53,270.2,1010.53,0.0,1500.8,-1.14,18.91,44.79,16.15,9.47,0.2,77.66
DEMO_SYNTHETIC,2025-10-01 12:00,Anand_Vihar,34.13,24.82,3.78,322.0,1009.81,0.0,1579.9,-0.36,10.0,41.89,8.15,7.25,0.2,85.01
DEMO_SYNTHETIC,2025-10-01 13:00,Anand_Vihar,35.65,28.27,3.75,278.8,1008.79,0.0,1576.8,-0.95,17.11,29.04,8.57,5.65,0.2,84.0
DEMO_SYNTHETIC,2025-10-01 14:00,Anand_Vihar,36.43,26.96,3.45,276.0,1011.11,0.0,1592.4,-0.65,16.41,66.08,18.47,7.77,0.2,84.98
DEMO_SYNTHETIC,2025-10-01 15:00,Anand_Vihar,34.41,20.43,2.84,287.9,1010.07,0.0,1474.9,-0.69,12.79,18.88,14.08,9.22,0.2,65.7
DEMO_SYNTHETIC,2025-10-01 16:00,Anand_Vihar,34.34,30.06,3.1,359.7,1011.47,0.0,1373.6,-0.74,10.57,24.94,11.55,9.78,0.2,53.86
DEMO_SYNTHETIC,2025-10-01 17:00,Anand_Vihar,34.62,25.22,2.98,268.5,1010.73,0.0,1309.4,-0.3,16.31,42.68,28.76,5.3,0.22,40.61
DEMO_SYNTHETIC,2025-10-01 18:00,Anand_Vihar,31.89,34.79,2.59,267.6,1009.92,0.0,1196.1,-1.23,30.33,47.75,27.44,12.41,0.36,21.64
DEMO_SYNTHETIC,2025-10-01 19:00,Anand_Vihar,31.31,40.04,2.37,302.8,1010.53,0.0,984.6,-0.17,50.52,78.26,30.91,7.2,0.51,16.03
DEMO_SYNTHETIC,2025-10-01 20:00,Anand_Vihar,29.29,47.97,1.99,323.8,1011.16,0.0,420.3,-0.61,118.61,191.62,28.23,7.59,1.18,22.65
DEMO_SYNTHETIC,2025-10-01 21:00,Anand_Vihar,30.31,48.64,2.5,332.6,1010.02,0.0,394.0,-0.54,104.27,174.52,28.57,9.18,1.01,26.37
DEMO_SYNTHETIC,2025-10-01 22:00,Anand_Vihar,25.79,50.75,2.44,319.3,1010.53,0.0,399.7,-1.07,69.88,101.85,17.37,9.81,0.8,23.43
